0.35;2.5;0.07;97
222
u1060.tsp;224094;234063;4.44858
u1060.tsp;224094;234938;4.83904
0.35;3;0.07;97
223
u1060.tsp;224094;234365;4.58334
u1060.tsp;224094;237186;5.84219
0.35;3.5;0.07;97
224
u1060.tsp;224094;232102;3.5735
u1060.tsp;224094;235229;4.9689
0.35;4;0.07;97
225
u1060.tsp;224094;231218;3.17902
u1060.tsp;224094;235559;5.11616
0.35;4.5;0.07;97
226
0.35;2.5;0.07;97
333
u1060.tsp;224094;231818;3.44677
u1060.tsp;224094;232733;3.85508
0.35;3;0.07;97
334
u1060.tsp;224094;230714;2.95412
u1060.tsp;224094;235900;5.26832
0.35;3.5;0.07;97
335
u1060.tsp;224094;230735;2.96349
u1060.tsp;224094;232097;3.57127
0.35;4;0.07;97
336
u1060.tsp;224094;233532;4.21163
u1060.tsp;224094;235521;5.0992
0.35;4.5;0.07;97
337
u1060.tsp;224094;233743;4.30578
u1060.tsp;224094;231594;3.34681
0.35;5;0.07;97
338
u1060.tsp;224094;232839;3.90238
0.35;3.5;0.1;98
333
u1060.tsp;224094;234808;4.78103
0.35;4.5;0.1;98
333
u1060.tsp;224094;236365;5.47583
0.36;3.5;0.1;98
333
