ESACO;;;;;
120;;;;;
0.08;0.5;0.08;85;;
ch130.tsp;6110;6327;3.55155;;47.8104779
d198.tsp;15780;15895;0.728771;;
eil76.tsp;538;543;0.929368;;
fl1577.tsp;22249;68358;207.241;;
kroA100.tsp;21282;22027;3.50061;;
lin318.tsp;42029;42992;2.29128;;
pcb442.tsp;50778;58832;15.8612;;
pr439.tsp;107217;122845;14.576;;
rat783.tsp;8806;18139;105.985;;
u1060.tsp;224094;500716;123.44;;
ESACO;;;;;
120;;;;;
0.08;0.5;0.08;86;;46.5688202
ch130.tsp;6110;6283;2.83142;;
d198.tsp;15780;15885;0.665399;;
eil76.tsp;538;553;2.7881;;
fl1577.tsp;22249;65516;194.467;;
kroA100.tsp;21282;21305;0.108073;;
lin318.tsp;42029;43377;3.20731;;
pcb442.tsp;50778;58475;15.1581;;
pr439.tsp;107217;131658;22.7958;;
rat783.tsp;8806;18459;109.618;;
u1060.tsp;224094;479671;114.049;;
ESACO;;;;;
120;;;;;
0.08;0.5;0.08;87;;
ch130.tsp;6110;6246;2.22586;;43.555922
d198.tsp;15780;16090;1.96451;;
eil76.tsp;538;553;2.7881;;
fl1577.tsp;22249;65660;195.114;;
kroA100.tsp;21282;21841;2.62663;;
lin318.tsp;42029;43565;3.65462;;
pcb442.tsp;50778;57615;13.4645;;
pr439.tsp;107217;119681;11.625;;
rat783.tsp;8806;17682;100.795;;
u1060.tsp;224094;451103;101.301;;
ESACO;;;;;
120;;;;;
0.08;0.5;0.08;88;;
ch130.tsp;6110;6257;2.40589;;42.247731
d198.tsp;15780;16193;2.61724;;
eil76.tsp;538;554;2.97398;;
fl1577.tsp;22249;65684;195.222;;
kroA100.tsp;21282;21955;3.1623;;
lin318.tsp;42029;43036;2.39596;;
pcb442.tsp;50778;56509;11.2864;;
pr439.tsp;107217;111602;4.08984;;
rat783.tsp;8806;17708;101.09;;
u1060.tsp;224094;441989;97.2337;;
ESACO;;;;;
120;;;;;
0.08;0.5;0.08;89;;
ch130.tsp;6110;6330;3.60065;;35.9882111
d198.tsp;15780;15839;0.373891;;
eil76.tsp;538;545;1.30112;;
fl1577.tsp;22249;57493;158.407;;
kroA100.tsp;21282;22419;5.34254;;
lin318.tsp;42029;43846;4.32321;;
pcb442.tsp;50778;57918;14.0612;;
pr439.tsp;107217;119089;11.0729;;
rat783.tsp;8806;15832;79.7865;;
u1060.tsp;224094;406984;81.6131;;
ESACO;;;;;
120;;;;;
0.08;0.5;0.08;90;;
ch130.tsp;6110;6272;2.65139;;33.946539
d198.tsp;15780;16273;3.12421;;
eil76.tsp;538;548;1.85874;;
fl1577.tsp;22249;56963;156.025;;
kroA100.tsp;21282;21587;1.43314;;
lin318.tsp;42029;43485;3.46427;;
pcb442.tsp;50778;56706;11.6743;;
pr439.tsp;107217;111440;3.93874;;
rat783.tsp;8806;15516;76.198;;
u1060.tsp;224094;401347;79.0976;;
ESACO;;;;;
120;;;;;
0.08;0.5;0.08;91;;
ch130.tsp;6110;6228;1.93126;;32.37097
d198.tsp;15780;16270;3.1052;;
eil76.tsp;538;544;1.11524;;
fl1577.tsp;22249;54507;144.986;;
kroA100.tsp;21282;21897;2.88977;;
lin318.tsp;42029;43816;4.25183;;
pcb442.tsp;50778;56293;10.861;;
pr439.tsp;107217;118721;10.7296;;
rat783.tsp;8806;15246;73.132;;
u1060.tsp;224094;382546;70.7078;;
ESACO;;;;;
120;;;;;
0.08;0.5;0.08;92;;30.0151474
ch130.tsp;6110;6206;1.57119;;
d198.tsp;15780;16059;1.76806;;
eil76.tsp;538;542;0.743494;;
fl1577.tsp;22249;49942;124.469;;
kroA100.tsp;21282;22346;4.99953;;
lin318.tsp;42029;43793;4.1971;;
pcb442.tsp;50778;56814;11.887;;
pr439.tsp;107217;121501;13.3225;;
rat783.tsp;8806;14914;69.3618;;
u1060.tsp;224094;376101;67.8318;;
ESACO;;;;;
120;;;;;
0.08;0.5;0.08;93;;
ch130.tsp;6110;6235;2.04583;;26.482908
d198.tsp;15780;16112;2.10393;;
eil76.tsp;538;550;2.23048;;
fl1577.tsp;22249;45939;106.477;;
kroA100.tsp;21282;21825;2.55145;;
lin318.tsp;42029;43402;3.26679;;
pcb442.tsp;50778;57466;13.1711;;
pr439.tsp;107217;120770;12.6407;;
rat783.tsp;8806;14519;64.8762;;
u1060.tsp;224094;348389;55.4656;;
ESACO;;;;;
120;;;;;
0.08;0.5;0.08;94;;
ch130.tsp;6110;6360;4.09165;;
d198.tsp;15780;15977;1.24842;;
eil76.tsp;538;543;0.929368;;
fl1577.tsp;22249;42078;89.1231;;
kroA100.tsp;21282;21937;3.07772;;
lin318.tsp;42029;43306;3.03838;;
pcb442.tsp;50778;56211;10.6995;;
pr439.tsp;107217;110362;2.9333;;
rat783.tsp;8806;13901;57.8583;;
u1060.tsp;224094;336429;50.1285;;
ESACO;;;;;
120;;;;;
0.08;0.5;0.08;95;;23.720134
ch130.tsp;6110;6295;3.02782;;
d198.tsp;15780;15946;1.05196;;
eil76.tsp;538;553;2.7881;;
fl1577.tsp;22249;42353;90.3591;;
kroA100.tsp;21282;22298;4.77399;;
lin318.tsp;42029;43321;3.07407;;
pcb442.tsp;50778;56633;11.5306;;
pr439.tsp;107217;121719;13.5258;;
rat783.tsp;8806;14029;59.3118;;
u1060.tsp;224094;331117;47.7581;;
ESACO;;;;;
120;;;;;
0.08;0.5;0.08;96;;
ch130.tsp;6110;6317;3.38789;;20.995676
d198.tsp;15780;16041;1.65399;;
eil76.tsp;538;556;3.34572;;
fl1577.tsp;22249;38441;72.7763;;
kroA100.tsp;21282;21750;2.19904;;
lin318.tsp;42029;44609;6.13862;;
pcb442.tsp;50778;57008;12.2691;;
pr439.tsp;107217;120259;12.1641;;
rat783.tsp;8806;13373;51.8624;;
u1060.tsp;224094;323053;44.1596;;
